rank,player,position,inches,weight,forty,city,state,state2,state3,high school,college,player_url,class,teamid,Unnamed: 15,percent rank
14, Reed Blankenship   (DS#14 SS/Overall: #9999), SS,73,200.0,4.44 - 4.63,Athens,AL,,,West Limestone,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1025256&DraftYear=2022,2022,70,,0.8738738738738738
27, Gregory Grate Jr   (DS#27 FS/Overall: #9999), FS,71,186.0,4.42 - 4.62,Miami,FL,,,Carol City Senior,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1017822&DraftYear=2022,2022,70,,0.6823529411764706
31, Kyle Ulbrich   (DS#31 P/Overall: #9999), P,72,185.0,4.82 - 5.04,Mentor,OH,,,Lake Catholic,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1047109&DraftYear=2022,2022,70,,0.34042553191489366
31, Will Gilchrist   (DS#31 FB/Overall: #9999), FB,75,232.0,4.93 - 5.15,Pasadena,TX,,,Deer Park,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1017637&DraftYear=2022,2022,70,,0.0625
73, DQ Thomas   (DS#73 OLB/Overall: #9999), OLB,73,218.0,4.52 - 4.72,Oxford,MS,,,Oxford,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1023682&DraftYear=2022,2022,70,,0.496551724137931
94, Martell Pettaway   (DS#94 RB/Overall: #9999), RB,69,205.0,4.46 - 4.67,Detroit,MI,,,Martin Luther King,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1018409&DraftYear=2022,2022,70,,0.11538461538461542
97, Jarrin Pierce   (DS#97 WR/Overall: #9999), WR,70,190.0,4.38 - 4.57,Los Angeles,CA,,,Bishop Alemany,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1047098&DraftYear=2022,2022,70,,0.5814977973568283
97, Jordan Ferguson   (DS#97 DE/Overall: #9999), DE,74,255.0,4.74 - 4.90,Atlanta,GA,,,Cartersville,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1024859&DraftYear=2022,2022,70,,0.20661157024793386
127, Johnathan Butler   (DS#127 ILB/Overall: #9999), ILB,72,215.0,4.75 - 4.94,Sumter,SC,,,Sumter,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1051800&DraftYear=2022,2022,70,,0.0
133, CJ Windham   (DS#133 WR/Overall: #9999), WR,74,208.0,4.46 - 4.64,Powder Springs,GA,,,McEachern,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1024445&DraftYear=2022,2022,70,,0.4229074889867841
